epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3180.38,0.5932,0.33208,1.14072,0.9995,0.99894,0.995,0.90254,0.47148,0.27916,1.14115,0.00839125,0.00839125,0.00839125
67,3229.68,0.58917,0.32895,1.13127,0.99987,0.99894,0.995,0.90471,0.46859,0.26804,1.13285,0.0083665,0.0083665,0.0083665
68,3278.85,0.6031,0.33795,1.14621,0.9991,0.99894,0.995,0.91204,0.4654,0.26322,1.13009,0.00834175,0.00834175,0.00834175
69,3328.33,0.59243,0.32865,1.13778,1,0.99886,0.995,0.91883,0.46403,0.25213,1.12942,0.008317,0.008317,0.008317
70,3377.69,0.59184,0.32809,1.13963,0.99968,0.99894,0.995,0.90688,0.45808,0.25342,1.1298,0.00829225,0.00829225,0.00829225
71,3426.53,0.59769,0.3292,1.13782,0.99986,0.99894,0.995,0.90975,0.47311,0.26314,1.13823,0.0082675,0.0082675,0.0082675
72,3475.43,0.577,0.31803,1.12926,0.99753,0.99894,0.995,0.91201,0.46489,0.25731,1.12608,0.00824275,0.00824275,0.00824275
73,3524.71,0.5854,0.32408,1.13541,0.99972,0.99894,0.995,0.91144,0.4629,0.26743,1.13067,0.008218,0.008218,0.008218
74,3573.65,0.58942,0.32676,1.13035,0.99992,0.99894,0.995,0.91354,0.46927,0.25302,1.13117,0.00819325,0.00819325,0.00819325
75,3622.19,0.58057,0.31687,1.1307,0.99929,0.99894,0.995,0.92147,0.45347,0.2518,1.11965,0.0081685,0.0081685,0.0081685
76,3671.21,0.58934,0.32105,1.13399,0.99654,0.99894,0.99426,0.89844,0.48874,0.28576,1.15294,0.00814375,0.00814375,0.00814375
77,3720.54,0.57569,0.31913,1.12006,0.9998,0.99894,0.995,0.91591,0.53014,0.27147,1.244,0.008119,0.008119,0.008119
78,3769.48,0.57174,0.31908,1.11901,0.99877,0.99894,0.995,0.91184,0.45304,0.24998,1.11534,0.00809425,0.00809425,0.00809425
79,3818.51,0.57924,0.32011,1.13069,0.99976,0.99894,0.995,0.91147,0.4737,0.26532,1.13185,0.0080695,0.0080695,0.0080695
80,3867.68,0.57933,0.31983,1.13095,0.99986,0.99894,0.995,0.92471,0.44412,0.23775,1.107,0.00804475,0.00804475,0.00804475
81,3916.44,0.58491,0.32052,1.13832,0.99883,0.99894,0.995,0.90891,0.45234,0.25584,1.10419,0.00802,0.00802,0.00802
82,3965.45,0.57918,0.31815,1.13359,0.99985,0.99894,0.995,0.91999,0.4528,0.24916,1.10924,0.00799525,0.00799525,0.00799525
83,4014.71,0.57526,0.3207,1.12071,0.99781,0.99788,0.99491,0.89954,0.55257,0.28641,1.25391,0.0079705,0.0079705,0.0079705
84,4064.13,0.57037,0.31381,1.10967,0.998,0.99894,0.995,0.8954,0.52529,0.27534,1.22027,0.00794575,0.00794575,0.00794575
85,4112.93,0.57491,0.31284,1.12418,0.99989,0.99894,0.995,0.92339,0.44677,0.24268,1.1061,0.007921,0.007921,0.007921
86,4162.04,0.57102,0.31015,1.11213,0.99991,0.99894,0.995,0.92051,0.4479,0.24115,1.10657,0.00789625,0.00789625,0.00789625
87,4211.84,0.57518,0.31102,1.1171,0.99945,0.99894,0.995,0.92283,0.45036,0.23835,1.09278,0.0078715,0.0078715,0.0078715
88,4261.2,0.56051,0.30556,1.10497,0.99913,0.99894,0.995,0.90565,0.44557,0.25827,1.10284,0.00784675,0.00784675,0.00784675
89,4310.32,0.56507,0.30954,1.11292,0.99788,0.99874,0.995,0.91885,0.47014,0.25128,1.13706,0.007822,0.007822,0.007822
90,4359.82,0.56675,0.31405,1.1072,0.99962,0.99894,0.995,0.91713,0.44594,0.2525,1.10334,0.00779725,0.00779725,0.00779725
91,4408.88,0.55842,0.30833,1.10395,0.99992,0.99894,0.995,0.9182,0.43783,0.23578,1.08493,0.0077725,0.0077725,0.0077725
92,4457.9,0.57121,0.30789,1.12194,0.99786,0.99894,0.995,0.91903,0.43321,0.24008,1.09579,0.00774775,0.00774775,0.00774775
93,4506.86,0.56538,0.30311,1.11349,0.99807,0.99894,0.995,0.91678,0.44614,0.23688,1.103,0.007723,0.007723,0.007723
94,4555.97,0.55302,0.30036,1.09985,0.99978,0.99894,0.995,0.9275,0.43703,0.2324,1.09649,0.00769825,0.00769825,0.00769825
95,4605.55,0.55592,0.29803,1.10478,0.99887,0.99894,0.995,0.91614,0.4427,0.23567,1.10052,0.0076735,0.0076735,0.0076735
96,4654.44,0.556,0.30219,1.11405,0.99883,0.99894,0.995,0.92198,0.44093,0.22969,1.08806,0.00764875,0.00764875,0.00764875
97,4703.22,0.55908,0.30731,1.1076,0.99713,0.99894,0.99495,0.90417,0.46102,0.2478,1.11458,0.007624,0.007624,0.007624
98,4752.33,0.55354,0.30693,1.10129,0.99975,0.99894,0.995,0.91124,0.45458,0.23159,1.10906,0.00759925,0.00759925,0.00759925
