epoch,TP,FP,FN
106,0.99894,0.00010989548850378987,0.0010599999999999499
107,0.99894,6.993069514867489e-05,0.0010599999999999499
108,0.99894,0.00023980315275667956,0.0010599999999999499
109,0.99894,9.99039903990289e-05,0.0010599999999999499
110,0.99894,0.00020982146250716997,0.0010599999999999499
111,0.99894,7.992159372746721e-05,0.0010599999999999499
112,0.99894,9.99039903990289e-05,0.0010599999999999499
113,0.99894,0.0002497974493623131,0.0010599999999999499
114,0.99894,0.0019316823469295616,0.0010599999999999499
115,0.99894,7.992159372746721e-05,0.0010599999999999499
116,0.99894,7.992159372746721e-05,0.0010599999999999499
117,0.99894,8.991269214232727e-05,0.0010599999999999499
118,0.99894,0.00011988718646238447,0.0010599999999999499
119,0.99894,0.0002497974493623131,0.0010599999999999499
120,0.99894,0.0001998279655930966,0.0010599999999999499
