epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,4061.51,0.58377,0.32514,1.13397,0.9989,0.49947,0.51266,0.46709,2.1337,3.42308,2.39393,0.00824275,0.00824275,0.00824275
73,4113.17,0.58508,0.32318,1.13625,0.99881,0.49947,0.50614,0.45767,2.12451,3.50873,2.37421,0.008218,0.008218,0.008218
74,4164.37,0.58675,0.32625,1.13351,0.99982,0.49947,0.51715,0.47042,1.94078,3.33405,2.30541,0.00819325,0.00819325,0.00819325
75,4215.65,0.57913,0.32208,1.1238,0.99992,0.49947,0.5381,0.4933,2.18131,3.42977,2.43158,0.0081685,0.0081685,0.0081685
76,4266.54,0.57122,0.32203,1.11593,0.9984,0.49947,0.65572,0.60146,2.28603,3.43545,2.51111,0.00814375,0.00814375,0.00814375
77,4317.54,0.57503,0.31934,1.12038,0.9979,0.49947,0.57383,0.52476,2.11061,3.42329,2.35439,0.008119,0.008119,0.008119
78,4369.22,0.57433,0.32287,1.12812,0.99992,0.49947,0.5363,0.49257,2.13096,3.31945,2.34721,0.00809425,0.00809425,0.00809425
79,4421.73,0.57457,0.32561,1.1315,0.9985,0.49947,0.52646,0.48205,2.17199,3.44871,2.41427,0.0080695,0.0080695,0.0080695
80,4474.15,0.56965,0.31971,1.12685,0.99987,0.49947,0.59548,0.54947,2.23092,3.44422,2.46556,0.00804475,0.00804475,0.00804475
81,4526.75,0.57599,0.31851,1.12427,0.9988,0.49947,0.53858,0.49185,2.34558,3.46829,2.57095,0.00802,0.00802,0.00802
82,4579.57,0.58814,0.32783,1.13632,0.99894,0.49897,0.5166,0.47239,2.28418,3.49028,2.50903,0.00799525,0.00799525,0.00799525
83,4630.7,0.57344,0.32022,1.11739,0.99887,0.49947,0.57796,0.52848,2.24107,3.49339,2.46899,0.0079705,0.0079705,0.0079705
84,4683.3,0.57751,0.31476,1.11734,0.99985,0.49947,0.53205,0.48445,2.32215,3.50056,2.54611,0.00794575,0.00794575,0.00794575
85,4734.37,0.56442,0.3133,1.11515,0.99982,0.49947,0.69024,0.63411,2.10666,3.51398,2.43965,0.007921,0.007921,0.007921
86,4784.68,0.57206,0.31848,1.1208,0.99881,0.49947,0.6245,0.57973,2.15178,3.50787,2.43459,0.00789625,0.00789625,0.00789625
